Variant_ID,KT_Verdict,ESM2_Prob,ESM2_Verdict,Final_Verdict,KT_Peptide_Count,Consensus,Retained
HIV_gp41_Var_13_UMQ72343.1.fasta,True,0.9761,True,ANTIGENIC,7,AGREE,True
HIV_gp41_Var_14_UBW82834.1.fasta,True,0.9759,True,ANTIGENIC,8,AGREE,True
HIV_gp41_Var_15_AFU31404.1.fasta,True,0.9759,True,ANTIGENIC,8,AGREE,True
HIV_gp41_Var_16_UBW87031.1.fasta,True,0.976,True,ANTIGENIC,7,AGREE,True
HIV_gp41_Var_17_UMQ70433.1.fasta,True,0.9759,True,ANTIGENIC,6,AGREE,True
HIV_gp41_Var_18_WMD30114.1.fasta,True,0.9762,True,ANTIGENIC,9,AGREE,True
HIV_gp41_Var_19_UMQ71839.1.fasta,True,0.9753,True,ANTIGENIC,9,AGREE,True
HIV_gp41_Var_20_UBW88050.1.fasta,True,0.9759,True,ANTIGENIC,7,AGREE,True
HIV_gp41_Var_21_AVP73563.1.fasta,True,0.9763,True,ANTIGENIC,8,AGREE,True
HIV_gp41_Var_22_AFU32842.1.fasta,True,0.9761,True,ANTIGENIC,8,AGREE,True
HIV_gp41_Var_23_QIX05989.1.fasta,True,0.9759,True,ANTIGENIC,10,AGREE,True
HIV_gp41_Var_24_AYM47111.1.fasta,True,0.9759,True,ANTIGENIC,8,AGREE,True
HIV_gp41_Var_25_AMQ63183.1.fasta,True,0.9757,True,ANTIGENIC,8,AGREE,True
HIV_gp41_Var_26_UBW85202.1.fasta,True,0.976,True,ANTIGENIC,9,AGREE,True
HIV_gp41_Var_27_UBW87448.1.fasta,True,0.9763,True,ANTIGENIC,8,AGREE,True
HIV_gp41_Var_28_WDY92899.1.fasta,True,0.9758,True,ANTIGENIC,9,AGREE,True
HIV_gp41_Var_29_AIS43912.1.fasta,True,0.976,True,ANTIGENIC,8,AGREE,True
HIV_gp41_Var_30_QGV14251.1.fasta,True,0.9756,True,ANTIGENIC,6,AGREE,True
HIV_p17_Var_01_QID00154.1.fasta,True,0.0327,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_02_ACH99177.1.fasta,True,0.0274,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_03_QGV15380.1.fasta,True,0.0858,False,NON-ANTIGENIC,7,DISAGREE,True
HIV_p17_Var_04_QJE62256.1.fasta,True,0.5436,True,ANTIGENIC,5,AGREE,True
HIV_p17_Var_05_UDP22692.1.fasta,True,0.1025,False,NON-ANTIGENIC,6,DISAGREE,True
HIV_p17_Var_06_ASM59364.1.fasta,True,0.0372,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_07_QIC95607.1.fasta,True,0.0326,False,NON-ANTIGENIC,6,DISAGREE,True
HIV_p17_Var_08_AFU26093.1.fasta,True,0.0353,False,NON-ANTIGENIC,6,DISAGREE,True
HIV_p17_Var_09_QIC96180.1.fasta,True,0.0496,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_10_AFU32291.1.fasta,True,0.0335,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_11_AXR99486.1.fasta,True,0.0313,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_12_AFN81319.1.fasta,True,0.1457,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_13_QIX06459.1.fasta,True,0.0296,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_14_AFU28327.1.fasta,True,0.1636,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_15_ABD04289.1.fasta,True,0.0361,False,NON-ANTIGENIC,7,DISAGREE,True
HIV_p17_Var_16_AEZ35907.1.fasta,True,0.0372,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_17_QIC99563.1.fasta,True,0.5169,True,ANTIGENIC,7,AGREE,True
HIV_p17_Var_18_QIC99916.1.fasta,True,0.1515,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_19_AXP13305.1.fasta,True,0.0613,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_20_YFN08105.1.fasta,True,0.0318,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_21_AFU32525.1.fasta,True,0.1054,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_22_AKN89917.1.fasta,True,0.035,False,NON-ANTIGENIC,6,DISAGREE,True
HIV_p17_Var_23_QAB36255.1.fasta,True,0.029,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_24_AFU33753.1.fasta,True,0.0556,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_25_XFC51684.1.fasta,True,0.0372,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_26_QAB36020.1.fasta,True,0.0418,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_27_AFU28675.1.fasta,True,0.6475,True,ANTIGENIC,5,AGREE,True
HIV_p17_Var_28_WMD30065.1.fasta,True,0.2214,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p17_Var_29_AFU27899.1.fasta,True,0.0766,False,NON-ANTIGENIC,4,DISAGREE,True
HIV_p17_Var_30_AFU26915.1.fasta,True,0.0332,False,NON-ANTIGENIC,5,DISAGREE,True
HIV_p24_Var_01_AFU33511.1.fasta,True,0.9682,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_02_AKN89917.1.fasta,True,0.9735,True,ANTIGENIC,8,AGREE,True
HIV_p24_Var_03_QJE62256.1.fasta,True,0.9724,True,ANTIGENIC,6,AGREE,True
HIV_p24_Var_04_AZB80127.1.fasta,True,0.9718,True,ANTIGENIC,6,AGREE,True
HIV_p24_Var_05_AEZ35406.1.fasta,True,0.9717,True,ANTIGENIC,6,AGREE,True
HIV_p24_Var_06_XPO04964.1.fasta,True,0.9733,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_07_AFN81319.1.fasta,True,0.972,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_08_AEZ35352.1.fasta,True,0.9737,True,ANTIGENIC,8,AGREE,True
HIV_p24_Var_09_AXR99486.1.fasta,True,0.9742,True,ANTIGENIC,8,AGREE,True
HIV_p24_Var_10_UDP23202.1.fasta,True,0.966,True,ANTIGENIC,6,AGREE,True
HIV_p24_Var_11_AEZ51323.1.fasta,True,0.9718,True,ANTIGENIC,8,AGREE,True
HIV_p24_Var_12_BAT33730.1.fasta,True,0.9731,True,ANTIGENIC,6,AGREE,True
HIV_p24_Var_13_QIC95607.1.fasta,True,0.9704,True,ANTIGENIC,6,AGREE,True
HIV_p24_Var_14_UDP22692.1.fasta,True,0.9713,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_15_ASM59127.1.fasta,True,0.9683,True,ANTIGENIC,9,AGREE,True
HIV_p24_Var_16_QAB36905.1.fasta,True,0.9667,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_17_QAB36479.1.fasta,True,0.968,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_18_WVT29333.1.fasta,True,0.9682,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_19_AIY24491.1.fasta,True,0.9685,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_20_AFU26093.1.fasta,True,0.966,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_21_AFU29402.1.fasta,True,0.9709,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_22_QNG98205.1.fasta,True,0.9695,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_23_AXP13305.1.fasta,True,0.9706,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_24_AFU28090.1.fasta,True,0.97,True,ANTIGENIC,8,AGREE,True
HIV_p24_Var_25_AHC29697.1.fasta,True,0.9674,True,ANTIGENIC,6,AGREE,True
HIV_p24_Var_26_ARA72373.1.fasta,True,0.9688,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_27_QGV15380.1.fasta,True,0.9738,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_28_UMQ69966.2.fasta,True,0.9655,True,ANTIGENIC,7,AGREE,True
HIV_p24_Var_29_AFU30498.1.fasta,True,0.9711,True,ANTIGENIC,6,AGREE,True
HIV_p24_Var_30_QIX06459.1.fasta,True,0.9688,True,ANTIGENIC,8,AGREE,True
Mpox_A35R_Var_01_YGB80085.1.fasta,True,0.9058,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_02_YFT67491.1.fasta,True,0.9068,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_03_XPA18444.1.fasta,True,0.9226,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_04_YDB03291.1.fasta,True,0.9096,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_05_YCG62894.1.fasta,True,0.9125,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_06_XEX31249.1.fasta,True,0.9064,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_07_XEO29617.1.fasta,True,0.9157,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_08_WDR55323.1.fasta,True,0.9186,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_09_XNX19922.1.fasta,True,0.9128,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_10_YFI67686.1.fasta,True,0.9078,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_11_UXY84798.1.fasta,True,0.8973,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_12_XEX34609.1.fasta,True,0.8973,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_13_XCI57720.1.fasta,True,0.9244,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_14_UXL69934.1.fasta,True,0.9063,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_15_WZB43812.1.fasta,True,0.9018,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_16_XOL55170.1.fasta,True,0.9128,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_17_XEX61452.1.fasta,True,0.9123,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_18_WPD90593.1.fasta,True,0.9043,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_19_XYA25057.1.fasta,True,0.9086,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_20_NP_536572.1.fasta,True,0.9053,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_21_XEX24427.1.fasta,True,0.9016,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_22_YBX69776.1.fasta,True,0.9094,True,ANTIGENIC,4,AGREE,True
Mpox_A35R_Var_23_XEX38983.1.fasta,True,0.9308,True,ANTIGENIC,4,AGREE,True
Mpox_B5R_Var_01_YFT67509.1.fasta,True,0.6026,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_02_XBH37476.1.fasta,True,0.757,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_03_XIF87325.1.fasta,True,0.576,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_04_XBH42952.1.fasta,True,0.609,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_05_XBH37124.1.fasta,True,0.6164,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_06_XYA27940.1.fasta,True,0.6291,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_07_YDH68289.1.fasta,True,0.6021,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_08_XBH42043.1.fasta,True,0.6137,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_09_UVF73928.1.fasta,True,0.6101,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_10_XYR87323.1.fasta,True,0.6057,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_11_XYA03408.1.fasta,True,0.5883,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_12_YGB80106.1.fasta,True,0.5969,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_13_XEX49068.1.fasta,True,0.6061,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_14_XEX31267.1.fasta,True,0.5923,True,ANTIGENIC,13,AGREE,True
Mpox_B5R_Var_15_UXP56267.1.fasta,True,0.5955,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_16_XIF86968.1.fasta,True,0.5993,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_17_BFV54706.1.fasta,True,0.6076,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_18_WDP53175.1.fasta,True,0.5868,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_19_XDC02371.1.fasta,True,0.5843,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_20_XYA04115.1.fasta,True,0.6229,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_21_XKU46019.1.fasta,True,0.6054,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_22_XEX43843.1.fasta,True,0.5922,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_23_WDP32808.1.fasta,True,0.61,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_24_XBH42219.1.fasta,True,0.7645,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_25_WDR58878.1.fasta,True,0.6136,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_26_UXL78092.1.fasta,True,0.6109,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_27_UZV11444.1.fasta,True,0.6121,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_28_YDS69278.1.fasta,True,0.601,True,ANTIGENIC,13,AGREE,True
Mpox_B5R_Var_29_XYW47977.1.fasta,True,0.5986,True,ANTIGENIC,12,AGREE,True
Mpox_B5R_Var_30_YBX66761.1.fasta,True,0.6115,True,ANTIGENIC,12,AGREE,True
Mpox_L1R_Var_01_YGB80020.1.fasta,True,0.9774,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_02_XYA10566.1.fasta,True,0.9773,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_03_XEX45268.1.fasta,True,0.9773,True,ANTIGENIC,9,AGREE,True
Mpox_L1R_Var_04_WMB89274.1.fasta,True,0.9774,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_05_XYH50751.1.fasta,True,0.9774,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_06_XEX43928.1.fasta,True,0.9774,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_07_WCS91417.1.fasta,True,0.9774,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_08_XEX15305.1.fasta,True,0.9774,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_09_WDR64122.1.fasta,True,0.9774,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_10_WHP54173.1.fasta,True,0.9773,True,ANTIGENIC,9,AGREE,True
Mpox_L1R_Var_11_XEX14969.1.fasta,True,0.9765,True,ANTIGENIC,9,AGREE,True
Mpox_L1R_Var_12_XEX18485.1.fasta,True,0.9766,True,ANTIGENIC,9,AGREE,True
Mpox_L1R_Var_13_XBU14245.1.fasta,True,0.9773,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_14_XHC56541.1.fasta,True,0.9774,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_15_UTZ19597.1.fasta,True,0.9774,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_16_UUW22440.1.fasta,True,0.9773,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_17_XSF39763.1.fasta,True,0.9774,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_18_WDY77164.1.fasta,True,0.9774,True,ANTIGENIC,10,AGREE,True
Mpox_L1R_Var_19_XEX41419.1.fasta,True,0.9769,True,ANTIGENIC,8,AGREE,True
Mpox_L1R_Var_20_WVH08125.1.fasta,True,0.977,True,ANTIGENIC,8,AGREE,True
Mpox_L1R_Var_21_XEX05742.1.fasta,True,0.9771,True,ANTIGENIC,8,AGREE,True
