Variant_ID,Target,MW_kDa,GRAVY,Instability_Index,Status
HIV_p17_Var_05_UDP22692.1,HIV_p17,14.61,-0.69,47.27,UNSTABLE_FLAGGED
HIV_p17_Var_06_ASM59364.1,HIV_p17,14.66,-0.62,27.72,STABLE
HIV_p17_Var_07_QIC95607.1,HIV_p17,14.57,-0.73,31.26,STABLE
HIV_p17_Var_08_AFU26093.1,HIV_p17,14.65,-0.69,39.42,STABLE
HIV_p17_Var_09_QIC96180.1,HIV_p17,14.33,-0.64,45.4,UNSTABLE_FLAGGED
HIV_p17_Var_10_AFU32291.1,HIV_p17,14.73,-0.71,26.02,STABLE
HIV_p17_Var_11_AXR99486.1,HIV_p17,14.62,-0.75,33.36,STABLE
HIV_p17_Var_12_AFN81319.1,HIV_p17,14.39,-0.71,36.12,STABLE
HIV_p17_Var_13_QIX06459.1,HIV_p17,14.5,-0.65,45.07,UNSTABLE_FLAGGED
HIV_p17_Var_14_AFU28327.1,HIV_p17,14.6,-0.59,32.86,STABLE
HIV_p17_Var_15_ABD04289.1,HIV_p17,15.37,-0.73,52.07,UNSTABLE_FLAGGED
HIV_p17_Var_16_AEZ35907.1,HIV_p17,14.75,-0.73,37.65,STABLE
HIV_p17_Var_17_QIC99563.1,HIV_p17,14.75,-0.77,31.62,STABLE
HIV_p17_Var_18_QIC99916.1,HIV_p17,14.52,-0.68,44.9,UNSTABLE_FLAGGED
HIV_p17_Var_19_AXP13305.1,HIV_p17,14.77,-0.66,45.32,UNSTABLE_FLAGGED
HIV_p17_Var_20_YFN08105.1,HIV_p17,14.64,-0.68,30.8,STABLE
HIV_p17_Var_21_AFU32525.1,HIV_p17,14.87,-0.76,45.44,UNSTABLE_FLAGGED
HIV_p17_Var_22_AKN89917.1,HIV_p17,14.44,-0.69,49.97,UNSTABLE_FLAGGED
HIV_p17_Var_23_QAB36255.1,HIV_p17,14.57,-0.67,32.36,STABLE
HIV_p17_Var_24_AFU33753.1,HIV_p17,14.63,-0.73,33.81,STABLE
HIV_p17_Var_25_XFC51684.1,HIV_p17,14.88,-0.55,31.76,STABLE
HIV_p17_Var_26_QAB36020.1,HIV_p17,14.66,-0.62,39.48,STABLE
HIV_p17_Var_27_AFU28675.1,HIV_p17,14.58,-0.68,38.35,STABLE
HIV_p17_Var_28_WMD30065.1,HIV_p17,15.06,-0.69,38.11,STABLE
HIV_p17_Var_29_AFU27899.1,HIV_p17,14.71,-0.71,39.09,STABLE
HIV_p17_Var_30_AFU26915.1,HIV_p17,14.5,-0.64,27.96,STABLE
HIV_p24_Var_01_AFU33511.1,HIV_p24,25.65,-0.34,41.14,UNSTABLE_FLAGGED
HIV_p24_Var_02_AKN89917.1,HIV_p24,25.57,-0.36,43.98,UNSTABLE_FLAGGED
HIV_p24_Var_03_QJE62256.1,HIV_p24,25.43,-0.26,41.44,UNSTABLE_FLAGGED
HIV_p24_Var_04_AZB80127.1,HIV_p24,25.58,-0.32,48.3,UNSTABLE_FLAGGED
HIV_p24_Var_05_AEZ35406.1,HIV_p24,25.49,-0.33,40.03,UNSTABLE_FLAGGED
HIV_p24_Var_06_XPO04964.1,HIV_p24,25.68,-0.34,48.03,UNSTABLE_FLAGGED
HIV_p24_Var_07_AFN81319.1,HIV_p24,25.64,-0.28,46.51,UNSTABLE_FLAGGED
HIV_p24_Var_08_AEZ35352.1,HIV_p24,25.73,-0.41,42.2,UNSTABLE_FLAGGED
HIV_p24_Var_09_AXR99486.1,HIV_p24,25.46,-0.3,42.69,UNSTABLE_FLAGGED
HIV_p24_Var_10_UDP23202.1,HIV_p24,25.58,-0.31,41.97,UNSTABLE_FLAGGED
HIV_p24_Var_11_AEZ51323.1,HIV_p24,25.54,-0.36,41.13,UNSTABLE_FLAGGED
HIV_p24_Var_12_BAT33730.1,HIV_p24,25.51,-0.31,44.79,UNSTABLE_FLAGGED
HIV_p24_Var_13_QIC95607.1,HIV_p24,25.65,-0.31,44.35,UNSTABLE_FLAGGED
HIV_p24_Var_14_UDP22692.1,HIV_p24,25.7,-0.32,45.37,UNSTABLE_FLAGGED
HIV_p24_Var_15_ASM59127.1,HIV_p24,25.64,-0.33,42.34,UNSTABLE_FLAGGED
HIV_p24_Var_16_QAB36905.1,HIV_p24,25.53,-0.33,38.98,STABLE
HIV_p24_Var_17_QAB36479.1,HIV_p24,25.54,-0.31,43.11,UNSTABLE_FLAGGED
HIV_p24_Var_18_WVT29333.1,HIV_p24,25.61,-0.34,43.21,UNSTABLE_FLAGGED
HIV_p24_Var_19_AIY24491.1,HIV_p24,25.41,-0.28,44.27,UNSTABLE_FLAGGED
HIV_p24_Var_20_AFU26093.1,HIV_p24,25.66,-0.33,43.9,UNSTABLE_FLAGGED
HIV_p24_Var_21_AFU29402.1,HIV_p24,25.55,-0.36,47.43,UNSTABLE_FLAGGED
HIV_p24_Var_22_QNG98205.1,HIV_p24,25.63,-0.3,44.99,UNSTABLE_FLAGGED
HIV_p24_Var_23_AXP13305.1,HIV_p24,25.58,-0.32,45.4,UNSTABLE_FLAGGED
HIV_p24_Var_24_AFU28090.1,HIV_p24,25.56,-0.33,45.79,UNSTABLE_FLAGGED
HIV_p24_Var_25_AHC29697.1,HIV_p24,25.85,-0.36,43.31,UNSTABLE_FLAGGED
HIV_p24_Var_26_ARA72373.1,HIV_p24,25.47,-0.29,42.63,UNSTABLE_FLAGGED
HIV_p24_Var_27_QGV15380.1,HIV_p24,25.62,-0.31,50.99,UNSTABLE_FLAGGED
HIV_p24_Var_28_UMQ69966.2,HIV_p24,25.48,-0.31,39.11,STABLE
HIV_p24_Var_29_AFU30498.1,HIV_p24,25.6,-0.35,42.49,UNSTABLE_FLAGGED
HIV_p24_Var_30_QIX06459.1,HIV_p24,25.72,-0.39,42.8,UNSTABLE_FLAGGED
Mpox_A35R_Var_01_YGB80085.1,Mpox_A35R,20.05,-0.3,42.34,UNSTABLE_FLAGGED
Mpox_A35R_Var_02_YFT67491.1,Mpox_A35R,20.02,-0.32,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_03_XPA18444.1,Mpox_A35R,20.11,-0.29,40.86,UNSTABLE_FLAGGED
Mpox_A35R_Var_04_YDB03291.1,Mpox_A35R,20.08,-0.28,42.34,UNSTABLE_FLAGGED
Mpox_A35R_Var_05_YCG62894.1,Mpox_A35R,20.05,-0.31,41.38,UNSTABLE_FLAGGED
Mpox_A35R_Var_06_XEX31249.1,Mpox_A35R,20.01,-0.32,40.2,UNSTABLE_FLAGGED
Mpox_A35R_Var_07_XEO29617.1,Mpox_A35R,20.05,-0.31,40.07,UNSTABLE_FLAGGED
Mpox_A35R_Var_08_WDR55323.1,Mpox_A35R,20.14,-0.26,43.02,UNSTABLE_FLAGGED
Mpox_A35R_Var_09_XNX19922.1,Mpox_A35R,20.05,-0.3,42.34,UNSTABLE_FLAGGED
Mpox_A35R_Var_10_YFI67686.1,Mpox_A35R,20.05,-0.3,40.44,UNSTABLE_FLAGGED
Mpox_A35R_Var_11_UXY84798.1,Mpox_A35R,20.12,-0.32,43.45,UNSTABLE_FLAGGED
Mpox_A35R_Var_12_XEX34609.1,Mpox_A35R,18.68,-0.31,38.85,STABLE
Mpox_A35R_Var_13_XCI57720.1,Mpox_A35R,20.08,-0.28,40.21,UNSTABLE_FLAGGED
Mpox_A35R_Var_14_UXL69934.1,Mpox_A35R,20.06,-0.3,44.76,UNSTABLE_FLAGGED
Mpox_A35R_Var_15_WZB43812.1,Mpox_A35R,19.0,-0.31,39.47,STABLE
Mpox_A35R_Var_16_XOL55170.1,Mpox_A35R,20.05,-0.3,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_17_XEX61452.1,Mpox_A35R,20.05,-0.3,40.61,UNSTABLE_FLAGGED
Mpox_A35R_Var_18_WPD90593.1,Mpox_A35R,20.05,-0.3,42.34,UNSTABLE_FLAGGED
Mpox_A35R_Var_19_XYA25057.1,Mpox_A35R,20.05,-0.33,40.2,UNSTABLE_FLAGGED
Mpox_A35R_Var_20_NP_536572.1,Mpox_A35R,20.04,-0.36,42.09,UNSTABLE_FLAGGED
Mpox_A35R_Var_21_XEX24427.1,Mpox_A35R,20.05,-0.3,41.03,UNSTABLE_FLAGGED
Mpox_A35R_Var_22_YBX69776.1,Mpox_A35R,19.69,-0.33,43.21,UNSTABLE_FLAGGED
Mpox_A35R_Var_23_XEX38983.1,Mpox_A35R,18.95,-0.24,38.96,STABLE
Mpox_B5R_Var_01_YFT67509.1,Mpox_B5R,35.15,-0.18,41.79,UNSTABLE_FLAGGED
Mpox_B5R_Var_02_XBH37476.1,Mpox_B5R,34.94,-0.16,38.03,STABLE
Mpox_B5R_Var_03_XIF87325.1,Mpox_B5R,33.11,-0.12,41.24,UNSTABLE_FLAGGED
Mpox_B5R_Var_04_XBH42952.1,Mpox_B5R,35.13,-0.18,41.25,UNSTABLE_FLAGGED
Mpox_B5R_Var_05_XBH37124.1,Mpox_B5R,35.16,-0.16,41.01,UNSTABLE_FLAGGED
Mpox_B5R_Var_06_XYA27940.1,Mpox_B5R,35.16,-0.16,40.4,UNSTABLE_FLAGGED
Mpox_B5R_Var_07_YDH68289.1,Mpox_B5R,35.14,-0.18,40.4,UNSTABLE_FLAGGED
Mpox_B5R_Var_08_XBH42043.1,Mpox_B5R,35.13,-0.18,40.53,UNSTABLE_FLAGGED
Mpox_B5R_Var_09_UVF73928.1,Mpox_B5R,33.44,-0.24,42.5,UNSTABLE_FLAGGED
Mpox_B5R_Var_10_XYR87323.1,Mpox_B5R,35.14,-0.18,41.01,UNSTABLE_FLAGGED
Mpox_B5R_Var_11_XYA03408.1,Mpox_B5R,35.14,-0.18,42.02,UNSTABLE_FLAGGED
Mpox_B5R_Var_12_YGB80106.1,Mpox_B5R,35.14,-0.18,40.4,UNSTABLE_FLAGGED
Mpox_B5R_Var_13_XEX49068.1,Mpox_B5R,35.17,-0.17,41.79,UNSTABLE_FLAGGED
Mpox_B5R_Var_14_XEX31267.1,Mpox_B5R,35.19,-0.2,41.79,UNSTABLE_FLAGGED
Mpox_B5R_Var_15_UXP56267.1,Mpox_B5R,35.17,-0.18,41.79,UNSTABLE_FLAGGED
Mpox_B5R_Var_16_XIF86968.1,Mpox_B5R,35.14,-0.18,41.76,UNSTABLE_FLAGGED
Mpox_B5R_Var_17_BFV54706.1,Mpox_B5R,35.14,-0.18,41.79,UNSTABLE_FLAGGED
Mpox_B5R_Var_18_WDP53175.1,Mpox_B5R,35.14,-0.18,41.79,UNSTABLE_FLAGGED
Mpox_B5R_Var_19_XDC02371.1,Mpox_B5R,35.13,-0.17,40.49,UNSTABLE_FLAGGED
Mpox_B5R_Var_20_XYA04115.1,Mpox_B5R,35.17,-0.17,41.79,UNSTABLE_FLAGGED
Mpox_B5R_Var_21_XKU46019.1,Mpox_B5R,35.14,-0.18,41.79,UNSTABLE_FLAGGED
Mpox_B5R_Var_22_XEX43843.1,Mpox_B5R,35.12,-0.16,41.76,UNSTABLE_FLAGGED
Mpox_B5R_Var_23_WDP32808.1,Mpox_B5R,35.21,-0.17,41.18,UNSTABLE_FLAGGED
Mpox_B5R_Var_24_XBH42219.1,Mpox_B5R,34.95,-0.17,38.81,STABLE
Mpox_B5R_Var_25_WDR58878.1,Mpox_B5R,35.17,-0.17,41.79,UNSTABLE_FLAGGED
Mpox_B5R_Var_26_UXL78092.1,Mpox_B5R,35.14,-0.18,41.18,UNSTABLE_FLAGGED
Mpox_B5R_Var_27_UZV11444.1,Mpox_B5R,35.14,-0.18,41.99,UNSTABLE_FLAGGED
Mpox_B5R_Var_28_YDS69278.1,Mpox_B5R,35.13,-0.16,41.79,UNSTABLE_FLAGGED
Mpox_B5R_Var_29_XYW47977.1,Mpox_B5R,35.17,-0.19,41.31,UNSTABLE_FLAGGED
Mpox_B5R_Var_30_YBX66761.1,Mpox_B5R,35.14,-0.18,41.31,UNSTABLE_FLAGGED
Mpox_L1R_Var_01_YGB80020.1,Mpox_L1R,27.3,-0.0,33.47,STABLE
Mpox_L1R_Var_02_XYA10566.1,Mpox_L1R,27.3,-0.01,32.87,STABLE
Mpox_L1R_Var_03_XEX45268.1,Mpox_L1R,27.27,0.0,33.47,STABLE
Mpox_L1R_Var_04_WMB89274.1,Mpox_L1R,27.28,0.01,33.77,STABLE
Mpox_L1R_Var_05_XYH50751.1,Mpox_L1R,27.28,-0.01,34.7,STABLE
Mpox_L1R_Var_06_XEX43928.1,Mpox_L1R,27.26,-0.0,34.78,STABLE
Mpox_L1R_Var_07_WCS91417.1,Mpox_L1R,27.27,-0.0,32.87,STABLE
Mpox_L1R_Var_08_XEX15305.1,Mpox_L1R,27.27,0.0,33.47,STABLE
Mpox_L1R_Var_09_WDR64122.1,Mpox_L1R,27.27,-0.0,33.95,STABLE
Mpox_L1R_Var_10_WHP54173.1,Mpox_L1R,26.73,0.02,33.95,STABLE
Mpox_L1R_Var_11_XEX14969.1,Mpox_L1R,27.08,-0.01,34.0,STABLE
Mpox_L1R_Var_12_XEX18485.1,Mpox_L1R,26.81,-0.03,34.4,STABLE
Mpox_L1R_Var_13_XBU14245.1,Mpox_L1R,26.83,0.02,33.85,STABLE
Mpox_L1R_Var_14_XHC56541.1,Mpox_L1R,27.19,0.01,33.57,STABLE
Mpox_L1R_Var_15_UTZ19597.1,Mpox_L1R,27.3,-0.0,34.07,STABLE
Mpox_L1R_Var_16_UUW22440.1,Mpox_L1R,27.3,-0.0,33.81,STABLE
Mpox_L1R_Var_17_XSF39763.1,Mpox_L1R,27.33,0.01,33.21,STABLE
Mpox_L1R_Var_18_WDY77164.1,Mpox_L1R,27.3,-0.01,32.7,STABLE
Mpox_L1R_Var_19_XEX41419.1,Mpox_L1R,26.47,-0.03,34.7,STABLE
Mpox_L1R_Var_20_WVH08125.1,Mpox_L1R,26.37,-0.03,34.8,STABLE
Mpox_L1R_Var_21_XEX05742.1,Mpox_L1R,26.36,-0.04,36.16,STABLE
