Source,Accession,Length,N_Records_With_This_Sequence,Gene_Qualifier,Gene_Check,Best_Match,Best_Identity_Pct,Intended_Ref,Intended_Identity_Pct,Panel_Scores,Accepted,Reason,Description
Mpox_A35R,WVM34299.1,102,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(102 not in 170-195),"WVM34299.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVM34158.1,49,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(49 not in 170-195),"WVM34158.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVM34087.1,49,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(49 not in 170-195),"WVM34087.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVM33961.1,32,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(32 not in 170-195),"WVM33961.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WVH08686.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WVH08686.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WVH08453.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WVH08453.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WVH08166.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WVH08166.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WVH07810.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WVH07810.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WRV00961.1,29,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(29 not in 170-195),"WRV00961.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WRV00865.1,178,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"WRV00865.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WRV00722.1,145,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(145 not in 170-195),"WRV00722.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WRV00579.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WRV00579.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WPD90593.1,181,1,,ABSENT,A0A7H0DND2,99.45,A0A7H0DND2,99.45,A0A7H0DND2:99.4%,True,ACCEPTED,WPD90593.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UWT52790.1,154,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(154 not in 170-195),"UWT52790.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WMY82684.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WMY82684.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WMY82522.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WMY82522.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WMP37256.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WMP37256.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WLY70921.1,181,2,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WLY70921.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WKW66578.1,2,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(2 not in 170-195),"WKW66578.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WIV42315.1,10,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(10 not in 170-195),"WIV42315.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,NP_536572.1,181,1,,ABSENT,A0A7H0DND2,98.34,A0A7H0DND2,98.34,A0A7H0DND2:98.3%,True,ACCEPTED,NP_536572.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WDR55323.1,181,3,,ABSENT,A0A7H0DND2,98.9,A0A7H0DND2,98.9,A0A7H0DND2:98.9%,True,ACCEPTED,WDR55323.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WCC71736.1,150,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"WCC71736.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WCC65682.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),WCC65682.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,WBE14870.1,146,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(146 not in 170-195),"WBE14870.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,WBA27507.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"WBA27507.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,UXY84798.1,181,2,,ABSENT,A0A7H0DND2,99.45,A0A7H0DND2,99.45,A0A7H0DND2:99.4%,True,ACCEPTED,UXY84798.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UYD47691.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UYD47691.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UYD20965.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UYD20965.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UXL95582.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UXL95582.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UXL69934.1,181,2,,ABSENT,A0A7H0DND2,99.45,A0A7H0DND2,99.45,A0A7H0DND2:99.4%,True,ACCEPTED,UXL69934.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UXL69399.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UXL69399.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UXL68686.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UXL68686.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UXL68152.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UXL68152.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UXL67082.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UXL67082.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UXL62083.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UXL62083.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UWO61967.1,123,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"UWO61967.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,UWO61789.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UWO61789.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UWO44925.1,180,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"UWO44925.1 EEV glycoprotein (1), partial [Monkeypox virus]"
Mpox_A35R,UWO44212.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UWO44212.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UWJ10044.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UWJ10044.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UVI80922.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UVI80922.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UVE14875.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UVE14875.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UUV50170.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UUV50170.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_A35R,UTZ20018.1,181,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),UTZ20018.1 EEV glycoprotein (1) [Monkeypox virus]
Mpox_L1R,YGB80020.1,250,8611,,ABSENT,M1LBP0,100.0,M1LBP0,100.0,M1LBP0:100.0%; A0A7H0DN26:26.4%,True,ACCEPTED,YGB80020.1 IMV membrane protein L1R [Monkeypox virus]
Mpox_L1R,XYR86883.1,235,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"XYR86883.1 IMV membrane protein L1R, partial [Monkeypox virus]"
Mpox_L1R,XYH50751.1,250,5,,ABSENT,M1LBP0,99.6,M1LBP0,99.6,M1LBP0:99.6%; A0A7H0DN26:26.4%,True,ACCEPTED,XYH50751.1 IMV membrane protein L1R [Monkeypox virus]
Mpox_L1R,YDD26964.1,250,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YDD26964.1 IMV membrane protein L1R [Monkeypox virus]
Mpox_L1R,YDB03761.1,250,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YDB03761.1 IMV membrane protein L1R [Monkeypox virus]
Mpox_L1R,YCL56378.1,250,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YCL56378.1 IMV membrane protein L1R [Monkeypox virus]
Mpox_L1R,YCL55841.1,250,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YCL55841.1 IMV membrane protein L1R [Monkeypox virus]
Mpox_L1R,YCG63007.1,250,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YCG63007.1 IMV membrane protein L1R [Monkeypox virus]
Mpox_L1R,YCB47296.1,250,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YCB47296.1 IMV membrane protein L1R [Monkeypox virus]
Mpox_L1R,YBX70963.1,243,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"YBX70963.1 IMV membrane protein L1R, partial [Monkeypox virus]"
Mpox_L1R,YBX69711.1,250,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),YBX69711.1 IMV membrane protein L1R [Monkeypox virus]
Mpox_L1R,YBX68640.1,173,1,,ABSENT,,,,,,False,LENGTH_OUT_OF_BAND(173 not in 240-262),"YBX68640.1 IMV membrane protein L1R, partial [Monkeypox virus]"
Mpox_L1R,YBR47341.1,194,1,,ABSENT,,,,,,False,NONSTANDARD_RESIDUES(X),"YBR47341.1 IMV membrane protein L1R, partial [Monkeypox virus]"
